Timestamp: 54741 ms, Roll: -3.11919 rad, Pitch: -0.0274811 rad
Timestamp: 54751 ms, Roll: -3.11944 rad, Pitch: -0.0231523 rad
Timestamp: 54761 ms, Roll: -3.12152 rad, Pitch: -0.0250901 rad
Timestamp: 54771 ms, Roll: -3.12051 rad, Pitch: -0.0240864 rad
Timestamp: 54781 ms, Roll: -3.11846 rad, Pitch: -0.0251389 rad
Timestamp: 54791 ms, Roll: -3.11424 rad, Pitch: -0.0263265 rad
Timestamp: 54801 ms, Roll: -3.11933 rad, Pitch: -0.0212466 rad
Timestamp: 54811 ms, Roll: -3.12442 rad, Pitch: -0.0232247 rad
Timestamp: 54821 ms, Roll: -3.12154 rad, Pitch: -0.0260671 rad
Timestamp: 54831 ms, Roll: -3.1224 rad, Pitch: -0.0252425 rad
Timestamp: 54841 ms, Roll: -3.11933 rad, Pitch: -0.025292 rad
Timestamp: 54851 ms, Roll: -3.12127 rad, Pitch: -0.0284417 rad
Timestamp: 54861 ms, Roll: -3.12254 rad, Pitch: -0.0340829 rad
Timestamp: 54871 ms, Roll: -3.12454 rad, Pitch: -0.0230618 rad
Timestamp: 54881 ms, Roll: -3.1233 rad, Pitch: -0.0243813 rad
Timestamp: 54891 ms, Roll: -3.11433 rad, Pitch: -0.0232195 rad
Timestamp: 54901 ms, Roll: -3.11815 rad, Pitch: -0.0234347 rad
Timestamp: 54911 ms, Roll: -3.12133 rad, Pitch: -0.0253187 rad
Timestamp: 54921 ms, Roll: -3.1224 rad, Pitch: -0.0262518 rad
Timestamp: 54931 ms, Roll: -3.12131 rad, Pitch: -0.020277 rad
Timestamp: 54941 ms, Roll: -3.11937 rad, Pitch: -0.0222131 rad
Timestamp: 54951 ms, Roll: -3.11922 rad, Pitch: -0.0274532 rad
Timestamp: 54961 ms, Roll: -3.12555 rad, Pitch: -0.0190524 rad
Timestamp: 54971 ms, Roll: -3.12442 rad, Pitch: -0.027262 rad
Timestamp: 54981 ms, Roll: -3.12034 rad, Pitch: -0.03237 rad
Timestamp: 54991 ms, Roll: -3.11427 rad, Pitch: -0.0262999 rad
Timestamp: 55001 ms, Roll: -3.11829 rad, Pitch: -0.0243047 rad
Timestamp: 55011 ms, Roll: -3.12449 rad, Pitch: -0.0251419 rad
Timestamp: 55021 ms, Roll: -3.12041 rad, Pitch: -0.025216 rad
Timestamp: 55031 ms, Roll: -3.12137 rad, Pitch: -0.0272879 rad
Timestamp: 55041 ms, Roll: -3.11721 rad, Pitch: -0.0233628 rad
Timestamp: 55051 ms, Roll: -3.11946 rad, Pitch: -0.0261446 rad
Timestamp: 55061 ms, Roll: -3.1224 rad, Pitch: -0.0282701 rad
Timestamp: 55071 ms, Roll: -3.12652 rad, Pitch: -0.0271259 rad
Timestamp: 55081 ms, Roll: -3.12051 rad, Pitch: -0.0291018 rad
Timestamp: 55091 ms, Roll: -3.1151 rad, Pitch: -0.0254697 rad
Timestamp: 55101 ms, Roll: -3.12025 rad, Pitch: -0.0203178 rad
Timestamp: 55111 ms, Roll: -3.12141 rad, Pitch: -0.0272329 rad
Timestamp: 55121 ms, Roll: -3.1225 rad, Pitch: -0.0291322 rad
Timestamp: 55131 ms, Roll: -3.12041 rad, Pitch: -0.0231995 rad
Timestamp: 55141 ms, Roll: -3.11627 rad, Pitch: -0.02734 rad
Timestamp: 55151 ms, Roll: -3.11723 rad, Pitch: -0.0253677 rad
Timestamp: 55161 ms, Roll: -3.12032 rad, Pitch: -0.0243058 rad
Timestamp: 55171 ms, Roll: -3.12444 rad, Pitch: -0.0221929 rad
